,Counts
ENSR00000282063,5
ENSR00000090018,5
ENSR00000041252,5
ENSR00000013533,5
ENSR00000172592,4
ENSR00000177388,4
ENSR00000066199,4
ENSR00000053727,4
ENSR00000304730,3
ENSR00000211928,3
ENSR00000211927,3
ENSR00000323914,3
ENSR00000329966,3
ENSR00000172593,3
ENSR00000148786,3
14:105069641-105075641,3
ENSR00000336446,3
ENSR00000229546,3
ENSR00000229547,3
ENSR00000229548,3
ENSR00000083753,3
ENSR00000195824,3
ENSR00000038731,3
ENSR00000216272,3
2:190942782-190948782,3
ENSR00000263062,3
ENSR00000037509,3
ENSR00000309925,3
5:1562421-1568421,3
ENSR00000325274,3
ENSR00000010575,3
13:43058818-43064818,3
ENSR00000061968,3
ENSR00000127939,3
ENSR00000305991,3
2:190946600-190952600,3
ENSR00000015445,3
ENSR00000260012,3
ENSR00000216620,3
ENSR00000156405,3
ENSR00000060908,3
ENSR00000060909,3
ENSR00000123167,3
ENSR00000033973,3
ENSR00000066198,3
ENSR00000020877,3
ENSR00000256952,3
ENSR00000066197,3
ENSR00000013692,2
ENSR00000304731,2
ENSR00000341825,2
ENSR00000303909,2
ENSR00000151939,2
ENSR00000049248,2
ENSR00000336447,2
ENSR00000335475,2
ENSR00000329967,2
ENSR00000013685,2
17:32393542-32399542,2
ENSR00000087542,2
17:32394871-32400871,2
ENSR00000042923,2
12:68915131-68921131,2
ENSR00000118679,2
ENSR00000160397,2
ENSR00000122345,2
ENSR00000313729,2
12:68915402-68921402,2
12:68919551-68925551,2
ENSR00000021139,2
ENSR00000253769,2
ENSR00000223079,2
ENSR00000151247,2
ENSR00000175486,2
ENSR00000216273,2
ENSR00000163987,2
12:68916828-68922828,2
ENSR00000335161,2
ENSR00000073564,2
ENSR00000042917,2
ENSR00000151246,2
ENSR00000151245,2
ENSR00000325273,2
ENSR00000097102,2
2:34684326-34690326,2
ENSR00000097103,2
ENSR00000197050,2
ENSR00000210351,2
ENSR00000197051,2
ENSR00000282730,2
ENSR00000284134,2
ENSR00000133401,2
ENSR00000297000,2
ENSR00000002510,2
20:337919-343919,2
ENSR00000115683,2
