,eRNA,log2FC,p_value,q_value,-log10qval,rejected
0,ENSR00000230179,-4.443853172186685,4.16615056716383e-20,3.7162063059101365e-17,16.429900184067176,True
1,ENSR00000142545,-4.251739021098823,1.711954075790612e-19,7.032768117115297e-17,16.152873701812737,True
2,ENSR00000241449,-4.873269604242107,2.365280756877342e-19,7.032768117115297e-17,16.152873701812737,True
3,ENSR00000247261,-4.215125673250131,9.240323936208017e-19,1.751887430361149e-16,15.75649380338691,True
4,ENSR00000282063,-2.5493682869270846,1.1324056983025968e-18,1.751887430361149e-16,15.75649380338691,True
5,ENSR00000090018,-2.5326569129057477,1.1783996168348536e-18,1.751887430361149e-16,15.75649380338691,True
6,ENSR00000223078,-3.069561002207245,1.4036850178141659e-18,1.7886957655574798e-16,15.747463521129411,True
7,ENSR00000223716,-3.6432150590218337,1.6913686279893528e-18,1.8858760202081284e-16,15.724486861709675,True
8,ENSR00000041252,-2.304577036984083,2.55125052120244e-18,2.5285727387917516e-16,15.597124548615774,True
9,ENSR00000340736,-1.9908957409805168,3.3340471555833504e-18,2.973970062780349e-16,15.526663407580957,True
10,ENSR00000223723,-3.2201071578737883,4.819105476257957e-18,3.20298418141238e-16,15.494445206182347,True
11,ENSR00000335475,-2.3860735357018084,4.5624144253401304e-18,3.20298418141238e-16,15.494445206182347,True
12,ENSR00000329967,-2.9524405165701144,5.272464574171804e-18,3.20298418141238e-16,15.494445206182347,True
13,ENSR00000013685,-1.7791916774545733,5.482411472507463e-18,3.20298418141238e-16,15.494445206182347,True
14,ENSR00000043747,-3.1734522801218192,5.7452631056724304e-18,3.20298418141238e-16,15.494445206182347,True
15,17:32393542-32399542,-2.506651416588242,5.190725947347559e-18,3.20298418141238e-16,15.494445206182347,True
16,ENSR00000087542,-2.0619375040838825,6.139049431245421e-18,3.2211953486299506e-16,15.491982936695532,True
17,17:32394871-32400871,-2.4361073591443922,8.092492242554461e-18,3.60925154017929e-16,15.442582849526797,True
18,ENSR00000165132,-3.961864403975097,7.996868468802123e-18,3.60925154017929e-16,15.442582849526797,True
19,ENSR00000042923,-4.1423318690851305,7.69388619901212e-18,3.60925154017929e-16,15.442582849526797,True
20,12:68915131-68921131,-3.1880335787754213,8.813983443833183e-18,3.743844396142476e-16,15.426682209960914,True
21,ENSR00000229546,-2.959277681591942,1.0133882406797111e-17,4.108828684937738e-16,15.386281965999565,True
22,ENSR00000229547,-3.0834309992366227,1.1034539007081022e-17,4.279482084485335e-16,15.368608787402781,True
23,ENSR00000118679,-1.720819293019586,1.1693578915850052e-17,4.3461134970576024e-16,15.361898936436521,True
24,ENSR00000229548,-3.083294064257706,1.2487390609273488e-17,4.45550096938878e-16,15.35110345750608,True
25,ENSR00000043746,-2.970026635047234,1.871199687580707e-17,6.419654312776887e-16,15.19248835730428,True
26,ENSR00000160397,-2.704798041226102,1.9519430929200535e-17,6.448641625498843e-16,15.190531757718103,True
27,ENSR00000322370,-3.2250538433913807,2.198444802724275e-17,7.003617014393047e-16,15.154677610887195,True
28,ENSR00000122345,-3.6446792083133386,2.3371418728769554e-17,7.188726036573257e-16,15.143348067100892,True
29,ENSR00000313729,-3.7606815616376257,2.5820263235495986e-17,7.67722493535414e-16,15.11479573479344,True
30,12:68915402-68921402,-2.99467641281918,2.917931433038984e-17,8.396112381518625e-16,15.075921757042142,True
31,ENSR00000211928,-2.1751522896641506,3.296873175253786e-17,8.911548097958718e-16,15.05004684456026,True
32,11:96270891-96276891,-3.0654434638059564,3.296873175253786e-17,8.911548097958718e-16,15.05004684456026,True
33,ENSR00000211927,-2.1769851376469935,3.4119350194276535e-17,8.951311874498432e-16,15.048113311264649,True
34,ENSR00000323914,-5.040877774764952,3.7503328496859556e-17,9.557991148342491e-16,15.019633376015245,True
35,12:68919551-68925551,-2.9060450738099783,4.62514727021128e-17,1.146008712507906e-15,14.940812080641122,True
36,ENSR00000083753,-1.649068970237955,5.14328305195903e-17,1.2073180216703828e-15,14.918178316593275,True
37,ENSR00000021139,-2.447692905462548,5.008614804543255e-17,1.2073180216703828e-15,14.918178316593275,True
38,ENSR00000253769,-3.6373074247230974,5.4851458271605525e-17,1.2545513020069775e-15,14.901511574506417,True
39,ENSR00000223079,-3.0198671553043432,6.261885193413938e-17,1.3964003981313081e-15,14.854990036035025,True
40,ENSR00000151247,-2.673824840816697,7.706362265549085e-17,1.6766036928950692e-15,14.775569581597209,True
41,ENSR00000175486,-2.6969807557933465,9.232313528110447e-17,1.9588482125049503e-15,14.707999215371004,True
42,ENSR00000211858,-2.185214904198774,9.442878154452114e-17,1.9588482125049503e-15,14.707999215371004,True
43,ENSR00000336446,-4.900220056868488,9.906254809874937e-17,2.0082680205473738e-15,14.697178327345176,True
44,ENSR00000264041,-1.446903412668259,1.1222474567404088e-16,2.2245438475832104e-15,14.65275902953124,True
45,ENSR00000216273,-3.45449798304746,1.232433106212e-16,2.3898485450893565e-15,14.621629621276197,True
46,ENSR00000232852,-2.1320366900897203,1.425984244412291e-16,2.7063360553526883e-15,14.567618276502795,True
47,ENSR00000195824,-2.120318487695326,1.4692424267316022e-16,2.7303421763428942e-15,14.5637829221954,True
48,ENSR00000246413,-1.5916865965604443,1.8376391363734853e-16,3.3452532849900997e-15,14.47557099415651,True
49,ENSR00000341825,-1.542582040744184,1.89318318036623e-16,3.377438793773354e-15,14.47141251255533,True
50,ENSR00000163987,-2.931453820181258,2.017619064373925e-16,3.52885530474812e-15,14.45236614884824,True
51,ENSR00000177388,-2.462619925387043,2.313895958080735e-16,3.969221528092337e-15,14.401294661802519,True
52,ENSR00000143205,-2.125531857891952,2.4920630936272418e-16,4.194189206633018e-15,14.377351981704917,True
53,ENSR00000038731,-3.096950528665532,2.7417001644340155e-16,4.370838000715789e-15,14.359435289758117,True
54,ENSR00000066199,-3.1656445648583156,2.7440238569516163e-16,4.370838000715789e-15,14.359435289758117,True
55,ENSR00000170449,-2.635433681032663,2.683738399912213e-16,4.370838000715789e-15,14.359435289758117,True
56,12:68916828-68922828,-2.67940761915695,3.567138302042208e-16,5.412950760629828e-15,14.266565923487919,True
57,ENSR00000335161,-1.9824869269221819,3.580314964990581e-16,5.412950760629828e-15,14.266565923487919,True
58,ENSR00000073564,-2.640434752837219,3.580314964990581e-16,5.412950760629828e-15,14.266565923487919,True
59,ENSR00000198507,-2.5953308991908597,3.969462254331995e-16,5.901267218106899e-15,14.229054719419336,True
60,ENSR00000042917,-2.6381775235834617,4.531552647711605e-16,6.6264671504241834e-15,14.17871795063034,True
61,ENSR00000151246,-2.604974847999156,4.66673603755732e-16,6.714078299195369e-15,14.173013598341178,True
62,ENSR00000151245,-2.559485686317634,5.152989767398993e-16,7.295979162730002e-15,14.136916415020142,True
63,ENSR00000165133,-3.991565878633103,5.357186959280821e-16,7.466579324497646e-15,14.126878316623522,True
64,ENSR00000085043,-1.8272227547074205,5.647559097478068e-16,7.75018879223144e-15,14.110687718083923,True
65,5:141992694-141998694,-2.102489975907889,6.49019378106244e-16,8.771595231375297e-15,14.056921417217499,True
66,ENSR00000325271,-2.681384293320192,6.6827018702445855e-16,8.896970251131599e-15,14.050757861583133,True
67,ENSR00000325273,-2.703352136422008,6.982231382039658e-16,9.159044695263787e-15,14.038149821660891,True
68,ENSR00000199891,-2.267081210393139,7.215520136140671e-16,9.194634230624969e-15,14.03646554263915,True
69,ENSR00000325272,-2.705180300053805,7.136892215889383e-16,9.194634230624969e-15,14.03646554263915,True
70,ENSR00000232853,-2.0511031768117234,7.962318880520058e-16,1.0003364002005482e-14,13.999853927817169,True
71,ENSR00000097102,-2.4060826717323156,8.689649072187085e-16,1.0765509683876223e-14,13.967965404051828,True
72,2:34684326-34690326,-2.84788627921618,9.833343499357579e-16,1.2015537536201315e-14,13.920256795498108,True
73,ENSR00000170420,-1.3898566087746507,1.0013836249773321e-15,1.2070732344321355e-14,13.918266379989717,True
74,ENSR00000199892,-2.2293322152905444,1.096515404158626e-15,1.3041223206793256e-14,13.884681671867426,True
75,ENSR00000336447,-4.686459526755336,1.313366606336803e-15,1.501952580580036e-14,13.823343778595177,True
76,ENSR00000074565,-1.4566775810943295,1.309523535965312e-15,1.501952580580036e-14,13.823343778595177,True
77,ENSR00000097103,-2.4434516612686963,1.2860366157836955e-15,1.501952580580036e-14,13.823343778595177,True
78,ENSR00000197050,-2.5341099715015547,1.5352188681215074e-15,1.7334370004612463e-14,13.761091937595255,True
79,14:65054944-65060944,-1.5869454834856098,1.5744944822750528e-15,1.755561347736684e-14,13.755583989600511,True
80,ENSR00000247823,-2.4957281193795207,1.6382244649970301e-15,1.7605978587678925e-14,13.75433983066664,True
81,ENSR00000329966,-1.8731897017480108,1.6031547067266057e-15,1.7605978587678925e-14,13.75433983066664,True
82,ENSR00000210351,-1.5094074880908266,1.6205950071859019e-15,1.7605978587678925e-14,13.75433983066664,True
83,ENSR00000216272,-2.6293536557743735,1.6620229671495982e-15,1.76491010321124e-14,13.75327741077111,True
84,ENSR00000328842,-1.6317397875901762,1.7417429317691691e-15,1.8278055236918812e-14,13.738070014554342,True
85,ENSR00000197051,-2.4746682077631776,1.89211828860803e-15,1.962522690044608e-14,13.707185313383116,True
86,ENSR00000220407,-2.9015139821873244,1.968485426559552e-15,2.018263218955311e-14,13.695022194350281,True
87,ENSR00000282730,-2.8650574460442195,2.1226862198231674e-15,2.1516319410025743e-14,13.667232017235424,True
88,ENSR00000284134,-2.3688391082405635,2.372423156380006e-15,2.377754444371871e-14,13.623832997892581,True
89,ENSR00000133401,-2.2468264850958777,2.4155340571018604e-15,2.394062643260955e-14,13.620864489992003,True
90,ENSR00000011593,-1.36022764514178,2.4504171601930325e-15,2.401947370211192e-14,13.619436512785432,True
91,ENSR00000006725,-2.864594320083513,2.4956579331987063e-15,2.419703126536137e-14,13.6162379143568,True
92,ENSR00000297000,-2.2267076130565937,2.5949790400608776e-15,2.4889476384239816e-14,13.603984239824806,True
93,ENSR00000013279,-1.3531018750597013,2.699202247583487e-15,2.5613706434515643e-14,13.591527572348154,True
94,ENSR00000263789,-1.4332019997683574,2.7283374892278994e-15,2.561765305675038e-14,13.591460660352098,True
95,ENSR00000002510,-2.197026348446538,2.7577785165749047e-15,2.562435871650849e-14,13.591346994594401,True
