,eRNA,log2FC,p_value,q_value,-log10qval,rejected
0,ENSR00000041252,-2.1413022545614147,4.277192952445698e-59,1.4499684108790917e-56,55.838641459234225,True
1,ENSR00000053727,-2.8647540111023435,2.717808597610473e-58,4.606685572949752e-56,55.336611429291274,True
2,ENSR00000307817,-2.4771544379155848,8.642797618366975e-58,7.5738242657640065e-56,55.12068477596386,True
3,ENSR00000204282,-2.6204079486471263,8.936665800311512e-58,7.5738242657640065e-56,55.12068477596386,True
4,ENSR00000204283,-2.261047745387983,4.7741722700500156e-57,3.2368887990939106e-55,54.489872220204916,True
5,ENSR00000113752,-2.8019206091102395,1.389055842266109e-56,6.72699900754587e-55,54.172178636389944,True
6,ENSR00000227511,-4.121310564347939,1.3829885240407602e-56,6.72699900754587e-55,54.172178636389944,True
7,ENSR00000113754,-2.8340809890648084,2.759661422454e-56,1.1694065277648824e-54,53.932034486209055,True
8,ENSR00000248296,-2.148236299691032,3.7689375391277757e-56,1.4196331397381287e-54,53.84782387109014,True
9,2:20206538-20212538,-2.769634232982304,1.2577785493642508e-55,4.26386928234481e-54,53.37019611796519,True
10,ENSR00000106260,-2.425935587898482,1.0037543367868171e-54,3.0933883651884637e-53,52.509565552266395,True
11,ENSR00000179288,-2.757842934096612,1.1644239658167722e-54,3.289497703432382e-53,52.482870412470014,True
12,ENSR00000151411,-2.81726648728671,1.7732995919336728e-54,4.624219705119347e-53,52.334961539973726,True
13,ENSR00000151410,-2.7908980191576753,2.1842130134196738e-54,5.288915796780496e-53,52.27663334719631,True
14,ENSR00000343138,-2.084038055397696,2.6153135750437647e-54,5.541195637123977e-53,52.25639651639423,True
15,ENSR00000113753,-2.6847494542079455,2.4967431608188452e-54,5.541195637123977e-53,52.25639651639423,True
16,ENSR00000317983,-1.9945074951852182,4.5187868577795853e-54,9.010992616395762e-53,52.045227366170884,True
17,ENSR00000189170,-1.9843883216246974,6.572756541368378e-54,1.2378691486243778e-52,51.90732526083596,True
18,ENSR00000126015,-2.4154806957433173,1.1229002676567717e-53,2.0034904775560295e-52,51.698212717396345,True
19,ENSR00000089402,-2.6702063963523646,1.845484438695119e-53,3.1280961235882268e-52,51.50471990992724,True
20,ENSR00000248297,-2.0151592016856332,5.003259747044075e-53,8.076690734514007e-52,51.09276654641983,True
21,ENSR00000156405,-1.7366003328849513,9.239071238319089e-53,1.4236568862682596e-51,50.84659466684773,True
22,ENSR00000343139,-2.0059662628359014,1.4388750374793261e-52,2.12077668567605e-51,50.67350505957612,True
23,ENSR00000204284,-1.869948565679563,3.418456601394415e-52,4.828569949469611e-51,50.31618147277095,True
24,22:38351865-38357865,-2.044616212539149,1.183984545012006e-51,1.60548304303628e-50,49.79439427705149,True
25,ENSR00000013533,-2.35672431016542,1.868490902686672e-51,2.436224676964545e-50,49.61328266207103,True
26,ENSR00000074563,-1.6112510248492393,9.775578352162359e-51,1.2273781708826073e-49,48.911021604980334,True
27,ENSR00000329454,-1.7934906826386334,3.209000929865601e-50,3.8851832686587096e-49,48.410588490199,True
28,ENSR00000218547,-1.7260785406233101,4.027518023771737e-50,4.708029689857307e-49,48.32716080706468,True
29,ENSR00000240118,-2.0988231084243107,4.986646278731624e-50,5.634910294966735e-49,48.249112993319926,True
30,ENSR00000005565,-2.922200942502718,8.604563041824992e-50,9.409506036060233e-49,48.02643317481335,True
31,ENSR00000088725,-2.7606223885947854,1.1337986692724394e-49,1.2011179652604904e-48,47.92041433718843,True
32,ENSR00000012140,-1.6539793963600913,3.4694816435930654e-49,3.5641038702365127e-48,47.44804964761686,True
33,ENSR00000005564,-2.8474764330622384,4.191493665927511e-49,4.179165743380665e-48,47.378910404638084,True
34,ENSR00000251502,-2.8281983199671816,6.801564250094976e-49,6.587800802234848e-48,47.181259541226346,True
