,eRNA,log2FC,p_value,q_value,-log10qval,rejected
0,ENSR00000136023,2.0631952158577147,1.421350057359068e-19,1.1669283970917949e-16,15.932955791514145,True
1,ENSR00000013692,-5.933299221320842,5.741701164272674e-19,2.3569683279339324e-16,15.627646253324611,True
2,ENSR00000092918,-3.2138402198113325,4.336258370977191e-18,8.900170306430685e-16,15.050601682969084,True
3,17:29740603-29746603,-3.2627933401799107,3.722607413360741e-18,8.900170306430685e-16,15.050601682969084,True
4,ENSR00000094273,-4.073221633786899,7.459703840370844e-18,1.2248833705888926e-15,14.911905261439065,True
5,ENSR00000092917,-3.0393644920646707,1.099864733739208e-17,1.2899842091426996e-15,14.889415605921034,True
6,ENSR00000092919,-3.041644044688258,9.459525317538171e-18,1.2899842091426996e-15,14.889415605921034,True
7,ENSR00000041252,-2.26745262440473,2.6065640828216698e-17,2.139989111996591e-15,14.669588436282504,True
8,ENSR00000216088,-2.5123801695567853,2.4803033601187254e-17,2.139989111996591e-15,14.669588436282504,True
9,ENSR00000201131,-3.241313873866936,2.1982815690316383e-17,2.139989111996591e-15,14.669588436282504,True
10,ENSR00000027936,-2.7086279242517133,5.132417063154489e-17,3.83064946259076e-15,14.416727587883223,True
11,ENSR00000229546,-3.0023982905669566,6.290400614444188e-17,4.3036824203822324e-15,14.36615978384824,True
12,ENSR00000211928,-2.284612291352861,1.3539187491147832e-16,8.050594010533136e-15,14.09417207416888,True
13,ENSR00000211927,-2.283405773057814,1.3728174926609488e-16,8.050594010533136e-15,14.09417207416888,True
14,ENSR00000325273,-3.259543187913764,1.5334582367924803e-16,8.393128082710843e-15,14.076076149317478,True
15,ENSR00000021040,-2.0937084530197585,1.848272098344581e-16,8.488287688083088e-15,14.07117990959332,True
16,ENSR00000027731,-2.886310215146761,1.6895667050996608e-16,8.488287688083088e-15,14.07117990959332,True
17,ENSR00000097103,-2.969035616515678,1.8610131350243066e-16,8.488287688083088e-15,14.07117990959332,True
18,ENSR00000336446,-4.490815558290708,2.6661005043147994e-16,1.0944342570212252e-14,13.960810321506234,True
19,ENSR00000097102,-2.800857130769855,2.625494389143054e-16,1.0944342570212252e-14,13.960810321506234,True
20,ENSR00000090018,-2.2823292548749325,3.116805218196795e-16,1.2185224210188422e-14,13.914166475313744,True
21,ENSR00000282063,-2.2715624730940998,3.7748045017484056e-16,1.3847240563023157e-14,13.858636762892088,True
22,ENSR00000284134,-2.8218301184937693,3.8792513148542337e-16,1.3847240563023157e-14,13.858636762892088,True
23,ENSR00000074242,-2.2502999539046527,9.122314119049853e-16,3.120591621558304e-14,13.505763061872377,True
24,ENSR00000262508,-2.5637825722766094,1.998736745120086e-15,6.563851470974362e-14,13.182841254868496,True
25,ENSR00000262509,-2.5349880380589207,2.5565570995935477e-15,7.773827328764084e-14,13.109365110089852,True
26,ENSR00000329454,-1.282289480977473,2.5396891971070374e-15,7.773827328764084e-14,13.109365110089852,True
27,ENSR00000209742,-2.834288014720367,3.4674352511305906e-15,9.48921447059405e-14,13.022769737541775,True
28,ENSR00000165726,-2.1518793232577664,3.4445790970055805e-15,9.48921447059405e-14,13.022769737541775,True
29,ENSR00000216129,-2.0955502350885076,3.4218992399641798e-15,9.48921447059405e-14,13.022769737541775,True
30,ENSR00000087861,-1.8096427302406688,3.803326590246567e-15,9.952717516718032e-14,13.002058322130896,True
