,eRNA,log2FC,p_value,q_value,-log10qval,rejected
0,ENSR00000314177,-3.4445747660032207,1.4657104616284935e-108,4.998072674153162e-106,105.30119743333277,True
1,ENSR00000026484,-4.003956727706429,3.4143154747677606e-107,4.551083183287852e-105,104.34188522652113,True
2,ENSR00000258819,-3.982884383033844,5.338513997991615e-107,4.551083183287852e-105,104.34188522652113,True
3,ENSR00000041252,-2.3299871066692996,4.563825489922001e-107,4.551083183287852e-105,104.34188522652113,True
4,ENSR00000010575,-2.680894178560817,2.1167859873531241e-106,1.4436480433748304e-104,103.84053867342232,True
5,ENSR00000098345,-4.80582953874862,1.2630482452848598e-105,7.178324194035619e-104,103.14397693155567,True
6,ENSR00000306266,-4.206160513203238,5.597934215193314e-105,2.7269936676870287e-103,102.5643158705262,True
7,ENSR00000079432,-3.6963673862644852,1.4534322252747267e-104,6.195254860233522e-103,102.20794082292531,True
8,ENSR00000328997,-2.492915892415765,1.6903222090184887e-104,6.404443036392273e-103,102.1935186327794,True
9,ENSR00000094394,-2.858965656810094,1.0436504559221126e-103,3.5588480546944036e-102,101.44869055383838,True
10,ENSR00000026082,-2.1375776921247343,1.7227575771933974e-103,5.340548489299532e-102,101.27241413742021,True
11,ENSR00000036930,-2.4678321140943384,3.821516253913898e-102,1.0024131096804916e-100,99.99895326222074,True
12,ENSR00000057216,-3.472072359291743,3.792371901296213e-102,1.0024131096804916e-100,99.99895326222074,True
13,ENSR00000115689,-2.1479374900076884,5.4132190465700356e-102,1.249581566419006e-100,99.90323539004612,True
14,ENSR00000258722,-2.0111659186843736,5.496693107414982e-102,1.249581566419006e-100,99.90323539004612,True
15,ENSR00000043149,-2.8499531541768426,1.5717270588314827e-101,3.3497432941345974e-100,99.47498847362361,True
16,ENSR00000012237,-2.668507235867896,2.9042075904068434e-101,5.501859935159631e-100,99.25949046995534,True
17,ENSR00000079431,-3.3857104451044155,2.8276878768358202e-101,5.501859935159631e-100,99.25949046995534,True
18,ENSR00000038731,-3.668747941628699,6.809997611511963e-101,1.1841452237855092e-99,98.9265950323926,True
19,ENSR00000129352,-1.5975695118269093,6.945133277334365e-101,1.1841452237855092e-99,98.9265950323926,True
20,ENSR00000211706,-1.925728734943163,1.542723652399016e-100,2.5050893593717353e-99,98.60117677774488,True
