Human eRNA,Mouse eRNA,Tissue,p-value
ENSR00000337803,chr15:76528506-76534507,Skin_no_sun,0.10587432235916297
ENSR00000059235,chr18:60720093-60726094,Liver,0.3798009408583308
ENSR00000157079,chr5:146858739-146864740,Lung,0.012463789959024035
ENSR00000157080,chr5:146858739-146864740,Lung,0.015974479398757326
ENSR00000178518,chr4:129880839-129886840,Lung,0.5534729849811132
ENSR00000134258,chr5:96961977-96967978,Liver,2.954317894505918e-06
ENSR00000274845,chr13:87629275-87635276,Skin_no_sun,1.4438067828720184e-07
ENSR00000274846,chr13:87629275-87635276,Skin_no_sun,1.6434068927530544e-07
ENSR00000244858,chr3:104589756-104595757,Lung,4.379186187465671e-05
ENSR00000244858,chr3:104589756-104595757,Skin_no_sun,0.08538846240585962
