,eRNA,log2FC,p_value,q_value,-log10qval,rejected,Tissue
0,ENSR00000013692,-3.564376324127825,1.760919267247013e-13,3.4484308186872804e-11,10.462378482264207,True,Kidney
1,ENSR00000261013,-2.45487160229104,2.5591323329775736e-13,3.4484308186872804e-11,10.462378482264207,True,Kidney
2,ENSR00000304730,-2.7570921013670566,1.9435398810170054e-13,3.4484308186872804e-11,10.462378482264207,True,Kidney
3,ENSR00000304731,-2.781016148022814,1.659769293426752e-13,3.4484308186872804e-11,10.462378482264207,True,Kidney
4,1:206652075-206658075,-2.0230140614222107,5.795771091460684e-13,6.247841236594616e-11,10.204270014813682,True,Kidney
5,ENSR00000341825,-1.6370355906264467,1.2017742074057042e-12,1.0523125494919207e-10,9.977855250334676,True,Kidney
6,ENSR00000211928,-2.012419092006,1.7571081531404983e-12,1.0523125494919207e-10,9.977855250334676,True,Kidney
7,ENSR00000211927,-2.014412366379446,1.7571081531404983e-12,1.0523125494919207e-10,9.977855250334676,True,Kidney
8,ENSR00000032268,-1.9738712829441707,3.0427761877717547e-11,1.6400563652089757e-09,8.785141225928779,True,Kidney
9,ENSR00000206067,-2.387071744494425,4.061620567422148e-11,1.9901940780368528e-09,8.701104570368878,True,Kidney
10,ENSR00000323914,-2.2021164882722033,6.385758713793766e-11,2.8682699556123667e-09,8.542379976185746,True,Kidney
11,ENSR00000282063,-1.6833614463025046,9.095413368562983e-11,3.771098312042652e-09,8.423532145446122,True,Kidney
12,ENSR00000103787,-2.155208967556958,1.1604788653083996e-10,4.169987389341516e-09,8.37986525839499,True,Kidney
13,ENSR00000090018,-1.6536662623536107,1.1604788653083996e-10,4.169987389341516e-09,8.37986525839499,True,Kidney
14,ENSR00000329966,-1.6066932079634937,2.4742265406340154e-10,8.335050658760839e-09,8.079091756273476,True,Kidney
15,ENSR00000103786,-2.0863893359529313,3.359746400592279e-10,9.366328893993592e-09,8.028430596250853,True,Kidney
16,ENSR00000172592,-2.15137826292483,1.4700102514025383e-09,3.169342102023873e-08,7.499030880089483,True,Kidney
17,ENSR00000122608,-2.5229083921789655,1.9466856432481936e-09,4.0356290835029856e-08,7.394088756803428,True,Kidney
18,ENSR00000172593,-2.157150623107889,2.2454109469975096e-09,4.482505557154288e-08,7.34847916335196,True,Kidney
19,ENSR00000292883,-1.8432179401631605,2.7751508193354963e-09,5.34216532722083e-08,7.272282675732716,True,Kidney
20,ENSR00000292861,-1.8865518826136312,5.417722924016761e-09,1.006949191739667e-07,6.996992442359769,True,Kidney
21,ENSR00000046852,-1.7039032082115733,2.201304550625648e-08,3.390009007963498e-07,6.469799147784044,True,Kidney
22,ENSR00000148786,-1.7428353552901081,2.3207612160136572e-08,3.4746952650871147e-07,6.459083277547057,True,Kidney
23,ENSR00000046851,-1.605841933298972,2.7856437506335883e-08,3.951215741030274e-07,6.4032692566812495,True,Kidney
24,ENSR00000237730,-1.6198334992187675,3.9857661761684173e-08,5.239824314523846e-07,6.280683274182675,True,Kidney
25,ENSR00000303909,-1.8111585320254302,4.263782953261725e-08,5.471854790019214e-07,6.2618654362751744,True,Kidney
