,eRNA,log2FC,p_value,q_value,-log10qval,rejected
0,ENSR00000136023,4.0418305124053955,1.9642432283965955e-145,1.7108558519334346e-142,141.7667865803754,True
1,ENSR00000324472,2.566506000299059,5.094769051057051e-144,2.2187719217353455e-141,140.65388733869756,True
2,ENSR00000114581,-3.3322772092791437,2.9258956041936066e-140,8.494850237508772e-138,137.0708442732513,True
3,ENSR00000141752,-4.579583015969081,2.4876694726414055e-136,5.41690027667666e-134,133.26624915955543,True
4,ENSR00000313236,-2.6055855913081936,4.658948174420075e-136,8.115887719839771e-134,133.09066396989292,True
5,ENSR00000048465,-3.622648514392918,6.016417517689025e-135,8.733832763178569e-133,132.058795128275,True
6,ENSR00000115683,-2.9422861577067625,8.208702608825282e-135,1.0213971388981172e-132,131.99080536300926,True
7,2:190942782-190948782,-4.02411765969652,1.0505474512153521e-134,1.1437835375107146e-132,131.9416561585497,True
8,ENSR00000313237,-2.4743786613869836,1.4287869735385207e-134,1.382748282168946e-132,131.85925687239595,True
9,ENSR00000265585,-4.017160693393671,3.017922556233044e-134,2.628610546478981e-132,131.5802737539637,True
10,ENSR00000114253,-3.178855233025614,4.553308628091695e-134,3.431690583247221e-132,131.46449187701396,True
11,ENSR00000333814,-3.6126093659519256,4.727931917217756e-134,3.431690583247221e-132,131.46449187701396,True
12,ENSR00000127939,-3.683969259257944,6.633079409196635e-134,4.444163204161746e-132,131.35221000072906,True
13,ENSR00000164703,-3.064049431519159,8.832288698308791e-134,5.494945325876398e-132,131.26003662440306,True
14,8:79944417-79950417,-2.8105108340677205,1.1227627470147135e-133,6.112039704061346e-132,131.2138138332284,True
15,12:68919551-68925551,-3.5899478743885265,1.0566332986929993e-133,6.112039704061346e-132,131.2138138332284,True
16,ENSR00000048463,-3.401231223741641,2.102069009473693e-132,1.0770012395597568e-130,129.96778379685648,True
17,ENSR00000114252,-3.000159237010147,3.3205356103720884e-132,1.6067702870189383e-130,129.79404620799775,True
18,ENSR00000164702,-2.996402927304212,4.541965913082345e-132,2.082132794891959e-130,129.681491575378,True
19,ENSR00000048464,-3.299374757543876,7.400591484929035e-132,3.2229575916865943e-130,129.49174540898275,True
20,ENSR00000225893,-2.5788783528761803,8.641270122634096e-132,3.584069655625856e-130,129.4456235585077,True
21,ENSR00000179321,-5.063501951568009,1.1589042962541538e-131,4.588207463806218e-130,129.338356952944,True
22,ENSR00000179320,-5.065854583304175,1.386366735823523e-131,5.25011055174908e-130,129.2798315515447,True
23,ENSR00000208868,-3.3896136539200366,1.599192167844066e-131,5.80373490913409e-130,129.2362924325764,True
24,2:190946600-190952600,-3.4082175579470833,2.823216891256503e-131,9.836087649137656e-130,129.00717760992853,True
25,ENSR00000048462,-3.2838398128420754,5.034517264225655e-131,1.6865632835155945e-129,128.77299735849732,True
26,ENSR00000013196,-2.9533213120758557,8.093964077288507e-131,2.611052856043811e-129,128.58318433658158,True
27,4:745911-751911,-2.9390061798350433,9.418166029463722e-131,2.929722361308179e-129,128.53317353413905,True
28,ENSR00000018832,-2.857745851711908,5.235468474559655e-130,1.5724458763246412e-128,127.80342429406589,True
29,ENSR00000098608,-3.8662913589566443,5.9714726363575434e-130,1.7337175554224736e-128,127.76102165317624,True
30,ENSR00000151247,-2.7200809647999997,5.4251862132830357e-129,1.5243023199256527e-127,126.81692888939114,True
31,12:68916828-68922828,-3.372980699850819,3.163157743180104e-128,8.609719982218347e-127,126.06501097307073,True
32,12:68915402-68921402,-3.2665949099915315,8.631898998528093e-128,2.2782981902175665e-126,125.64238943482634,True
33,ENSR00000216444,-3.197739544571327,2.029234061153402e-127,5.198420197837097e-126,125.28412861859678,True
34,ENSR00000189822,-2.766784910064474,4.49701151023481e-127,1.1191134358327198e-125,124.95112589018359,True
35,4:54002594-54008594,-2.441975332566742,7.1168464790751275e-127,1.7218814675762323e-125,124.7639967482072,True
36,ENSR00000127930,-2.6290264515871815,9.332325664495595e-127,2.196879906425855e-125,124.65819368336265,True
37,ENSR00000127931,-2.5340206200268156,1.3006993827675811e-126,2.981339901027798e-125,124.52558850745426,True
38,ENSR00000091712,-2.264100744227947,1.5689356757619963e-126,3.503956342535125e-125,124.45544131355253,True
39,ENSR00000002510,-2.3570509631806207,2.775250983957844e-126,6.043109017568205e-125,124.21873957101694,True
