,eRNA,log2FC,p_value,q_value,-log10qval,rejected
0,ENSR00000324472,3.260465884439975,6.289462226725904e-142,2.9057315487473676e-139,138.5367445112641,True
1,ENSR00000224069,-3.6697167405954074,3.970719004773915e-136,9.172360901027744e-134,133.03751886560354,True
2,ENSR00000224068,-3.5374382495427006,7.363778191217167e-136,1.1340218414474437e-133,132.9453785807793,True
3,ENSR00000109507,-3.4302626298590724,3.136190389023127e-135,3.622299899321712e-133,132.44101559620066,True
4,19:36154578-36160578,-4.810552002314692,2.538860020495129e-133,2.3459066589374995e-131,130.62968927197957,True
5,13:76589783-76595783,-2.580397259482787,1.8912384105584645e-131,1.4562535761300176e-129,128.83676299512922,True
6,4:54002594-54008594,-2.8192590195358838,5.401116131960596e-131,3.564736647093993e-129,128.44797254910483,True
7,ENSR00000164707,-2.5667270878425312,1.972964311726266e-130,1.1393868900219186e-128,127.94332878191628,True
8,ENSR00000243861,-2.7727696563486774,2.8100054099097276e-130,1.44246944375366e-128,127.84089337786008,True
9,ENSR00000193487,-2.6859834601667467,8.79629122764852e-130,4.063886547173616e-128,127.39105842489349,True
10,ENSR00000216272,-2.9565421390447697,2.335214916575289e-129,9.807902649616214e-128,127.00842385348474,True
11,8:38217049-38223049,-3.1048963600699104,3.197125284938295e-128,1.2308932347012435e-126,125.90977961529855,True
12,ENSR00000098608,-4.148809765837772,4.949501047349192e-128,1.7589765260579434e-126,125.75473995626257,True
13,ENSR00000224150,-2.8740894863223687,1.2117371445462691e-127,3.998732577002688e-126,125.3980776391812,True
14,ENSR00000243860,-2.498699556707079,2.069179689338317e-127,6.373073443162017e-126,125.19565107669098,True
15,ENSR00000243859,-2.4040177545479957,3.511950310739689e-126,1.0140756522260852e-124,123.99392964449109,True
16,1:148954104-148960104,-2.444766493321048,2.754853475612453e-125,7.486719445487959e-124,123.1257084411553,True
17,ENSR00000256952,-2.39269710608172,1.1749843364355202e-123,3.015793130184502e-122,121.5205984524245,True
18,ENSR00000020877,-2.3940004573063094,1.9374046793206418e-123,4.7109524307691395e-122,121.326891281064,True
19,ENSR00000012238,-2.2120416907699614,1.8128567748782903e-122,4.187699149968851e-121,120.37802452618173,True
20,4:54017263-54023263,-3.607250010884649,9.910491346216757e-122,2.1803080961676863e-120,119.66148213253703,True
21,ENSR00000195824,-2.030343573303314,3.800230934223341e-120,7.980484961869017e-119,118.09797071643573,True
22,4:54021691-54027691,-3.184010981799527,7.815762752417213e-119,1.569948865920327e-117,116.80411449256547,True
23,ENSR00000043973,-2.0276497721968463,9.038160945216323e-118,1.739845981954142e-116,115.75948919548061,True
24,ENSR00000212692,-2.3332382444612714,1.2609149582823497e-117,2.3301708429057822e-116,115.63261223630822,True
25,ENSR00000091626,-2.150155450074438,4.780138728221998e-117,8.493938817071396e-116,115.07089087161282,True
26,ENSR00000218547,-1.5108760260514944,6.978212868340132e-116,1.1940497574715337e-114,113.9229775752627,True
27,ENSR00000041252,-1.51226581525701,9.90421309690529e-116,1.6341951609893728e-114,113.78669607982346,True
28,ENSR00000270299,-2.1781368528774263,1.6526782740524966e-115,2.6328874572836324e-114,113.57956770440525,True
29,ENSR00000329454,-1.7237941711494664,1.0545544740199345e-114,1.624013889990699e-113,112.78941026061176,True
30,ENSR00000219466,-2.4124229058521456,5.112015997936494e-114,7.618552874344065e-113,112.11812751401108,True
31,ENSR00000328875,-2.4055265224956814,1.681335371526946e-113,2.427427942642028e-112,111.61485365310993,True
32,ENSR00000012237,-1.906993422434636,2.895567941477649e-113,4.0537951180687087e-112,111.39213820466637,True
33,ENSR00000118679,-1.5164515751226975,5.173380898953985e-112,7.02971169210806e-111,110.15306248623112,True
34,1:39612499-39618499,-2.5208312735591267,6.770016932942257e-111,8.93642235148378e-110,109.04883631386467,True
35,11:67617864-67623864,-2.583937451712401,1.0335434189310383e-110,1.326380720961499e-109,108.87733179924923,True
36,5:138939407-138945407,-1.4875358090227162,1.0944153343371886e-109,1.3665402282804897e-108,107.86437757900018,True
37,1:148876276-148882276,-1.4953871394430873,1.2639219393787388e-109,1.5366629894552033e-108,107.81342136858895,True
38,ENSR00000013279,-1.494847994728565,2.645718510805463e-109,3.134158851261856e-108,107.50387899558979,True
39,ENSR00000013280,-1.4830918407591192,4.623245484776821e-109,5.339848534917228e-108,107.27247106158241,True
40,ENSR00000119748,-1.979120264210323,6.564647611081044e-109,7.397237064193761e-108,107.13093046294992,True
41,ENSR00000341179,-2.0288969148141787,1.105620366134341e-108,1.216182402747775e-107,106.9150012847951,True
42,19:36677323-36683323,-1.6683946596100514,1.6715351741372221e-108,1.7959284894218527e-107,106.74571096013408,True
43,ENSR00000177388,-1.955087774715228,1.0316995187032987e-107,1.0832844946384637e-106,105.96525747299044,True
44,ENSR00000013281,-1.443152347657578,5.040650320072915e-107,5.175067661941526e-106,105.28608396760714,True
45,ENSR00000025461,-1.7124080120969871,3.578455454055874e-106,3.5940139560300296e-105,104.44442024080104,True
46,ENSR00000048465,-2.157465615671745,1.8147887908258057e-105,1.7838987688543027e-104,103.7486297942286,True
47,ENSR00000048462,-2.221897153808812,2.704516976671424e-105,2.6030975900462453e-104,103.58450954989918,True
48,ENSR00000263789,-1.432316782722582,3.9964554083249405e-105,3.7680865278492294e-104,103.42387913291313,True
49,ENSR00000318780,-1.5381217204449054,1.959873993752697e-103,1.810923570227492e-102,101.74209987863618,True
50,ENSR00000280227,-1.9493152076408273,2.878175442707351e-103,2.6072883422172476e-102,101.58381093718258,True
51,ENSR00000191293,-1.518557245090766,1.1861625797004e-102,1.0538598304261245e-101,100.97721714901023,True
52,ENSR00000066198,-1.9712375025719926,1.2682944465697664e-102,1.1055698760664755e-101,100.95641380321548,True
53,ENSR00000177392,-1.6687953591261124,6.740913839454672e-102,5.767226284866775e-101,100.23903300812769,True
54,ENSR00000084886,-1.8918492504859579,7.723339519616333e-102,6.48760519647772e-101,100.18791558700408,True
55,ENSR00000170421,1.7393729878521584,8.501658008519231e-102,7.013867857028366e-101,100.15404242059081,True
56,ENSR00000298227,-2.2143454357280183,2.21816655450492e-101,1.7978823652303035e-100,99.74523872739849,True
57,ENSR00000308258,-2.068700545685216,9.069628684882957e-101,7.224428366234356e-100,99.14119651081522,True
58,ENSR00000306124,-1.8970052002371163,1.5129853346912752e-100,1.1847444485209646e-99,98.92637531764215,True
59,ENSR00000033973,-1.9932581742518864,2.2392115805238575e-100,1.7241929170033704e-99,98.76341414332413,True
60,ENSR00000074563,-1.497335507209159,3.4955446054843023e-99,2.6474452585799143e-98,97.57717301106655,True
61,ENSR00000006992,-1.9447119225490992,3.832789962508775e-99,2.856046713998474e-98,97.54423469344144,True
62,ENSR00000158163,-1.8987649393883057,5.612237287114839e-99,4.115640677217549e-98,97.38556254904897,True
63,ENSR00000048464,-1.989503486605891,7.877071801768885e-99,5.6862612069019137e-98,97.24517319422164,True
64,ENSR00000123167,-1.5833583044901025,1.587592905513085e-98,1.1284121882262235e-97,96.94753223158189,True
65,ENSR00000066197,-1.852313416883727,2.6468774021876468e-98,1.8528141815313528e-97,96.7321681338285,True
66,ENSR00000165816,-1.7701362535265381,3.412451876433564e-98,2.353063831212398e-97,96.6283662916224,True
67,ENSR00000048463,-1.9599649304288602,1.0154750063578594e-97,6.870698338135881e-97,96.16299911898332,True
68,ENSR00000170061,-2.222866419204483,1.0261432582930211e-97,6.870698338135881e-97,96.16299911898332,True
69,22:43152977-43158977,-1.745575933178467,1.4037122936712896e-97,9.264501138230512e-97,96.03317796099124,True
70,ENSR00000177797,-1.8631368689558876,1.550054250398099e-97,1.0086268502590447e-96,95.99626947484025,True
